product_name,link,product_images,details
FADED LEATHER EFFECT JACKET,https://www.zara.com/in/en/faded-leather-effect-jacket-p05070330.html,https://static.zara.net/photos///2023/I/0/2/p/5070/330/802/2/w/448/5070330802_1_1_1.jpg?ts=1692359829209,Faded leather effect jacket. Lapel collar and long sleeves with adjustable zip cuffs. Hip welt pockets with zip fastening. Zip-up front.
FAUX LEATHER JACKET,https://www.zara.com/in/en/faux-leather-jacket-p03427320.html,https://static.zara.net/photos///2023/I/0/2/p/3427/320/800/2/w/448/3427320800_1_1_1.jpg?ts=1689335037306,Jacket made of faux leather fabric. Lapel collar with snap-button details. Long sleeves with zip cuffs. Front zip pockets on the chest and hip. Inside pocket. Asymmetric metal zip-up front.
FAUX LEATHER BOMBER JACKET,https://www.zara.com/in/en/faux-leather-bomber-jacket-p03918420.html,https://static.zara.net/photos///2023/I/0/2/p/3918/420/800/2/w/448/3918420800_1_1_1.jpg?ts=1687947015813,Jacket made of faux leather fabric. High neck and long sleeves. Welt pockets at the hip and interior pocket detail. Ribbed trims. Front zip fastening.
FAUX LEATHER JACKET,https://www.zara.com/in/en/faux-leather-jacket-p08281306.html,https://static.zara.net/photos///2023/I/0/2/p/8281/306/800/2/w/448/8281306800_2_1_1.jpg?ts=1688382311087,Collared jacket with long sleeves and elasticated cuffs. Welt pockets on the chest and hip. Ribbed hem. Zip-up front.
SATIN JACKET WITH EMBROIDERED SLOGAN,https://www.zara.com/in/en/satin-jacket-with-embroidered-slogan-p00706304.html,https://static.zara.net/photos///2023/I/0/2/p/0706/304/420/2/w/448/0706304420_2_1_1.jpg?ts=1689926679011,Satin varsity jacket. Jetted hip pockets and inside pocket detail. Contrast embroidery on the back. Ribbed trims. Front zip fastening.
BOMBER JACKET WITH PATCH,https://www.zara.com/in/en/bomber-jacket-with-patch-p03918478.html,https://static.zara.net/photos///2023/I/0/2/p/3918/478/251/2/w/448/3918478251_1_1_1.jpg?ts=1691739358833,Varsity jacket made of faux suede fabric. Jetted hip pockets and inside pocket detail. Contrast embroidery and patch appliqués on the front and back. Ribbed trims. Snap-buttons down the front.
HOODED BOMBER JACKET,https://www.zara.com/in/en/hooded-bomber-jacket-p03833407.html,https://static.zara.net/photos///2023/I/0/2/p/3833/407/800/2/w/448/3833407800_1_1_1.jpg?ts=1692780182587,Varsity jacket with a hood in the collar. Long sleeves with elasticated cuffs. Jetted pockets at the hip and inside pocket detail. Contrast patches and embroidery on the front and back. Ribbed trims. Snap-button front.
BOMBER JACKET WITH PATCH,https://www.zara.com/in/en/bomber-jacket-with-patch-p03918392.html,https://static.zara.net/photos///2023/I/0/2/p/3918/392/251/2/w/448/3918392251_1_1_1.jpg?ts=1689760696013,Varsity jacket made of lightweight fabric. Jetted hip pockets and inside pocket detail. Contrast patches and embroidery on the front. Ribbed trims. Snap-button front.
SEERSUCKER JACKET WITH POCKETS,https://www.zara.com/in/en/seersucker-jacket-with-pockets-p08281330.html,https://static.zara.net/photos///2023/I/0/2/p/8281/330/250/3/w/448/8281330250_1_1_1.jpg?ts=1691508195103,Relaxed fit jacket featuring a high neck and long sleeves with elastic cuffs. Patch pockets with flaps at the hip. Adjustable hem with elastic details on the front. Front zip fastening.
OVERSHIRT WITH POCKETS,https://www.zara.com/in/en/overshirt-with-pockets-p01538451.html,https://static.zara.net/photos///2023/I/0/2/p/1538/451/711/2/w/0/1538451711_1_1_1.jpg?ts=1691136024687,Relaxed fit overshirt made of cotton. Lapel collar and long sleeves with buttoned cuffs. Patch pockets with flaps on the chest and a side hip pocket. Zip-up front.
